"id","log_area_pop","staff_fte"
"all",0.675907066007861,0.0454244066812982
"13",0.659423986743261,0.0368851687662721
"18",0.678264186628588,0.0453389621953435
"21",0.66069130307584,0.0560585595653769
"26",0.761063031739663,0.0432723273570154
