"metric","median","p25","p75","lwr_med","upr_med"
"delta_pct",4.96341056067977,4.59213085323948,4.96341056067979,-35.5239906605756,69.1737938945863
"delta_isk",281.449396694773,199.191405446319,402.33336312694,-2867.24649073332,3573.33089222508
