"model","AIC","BIC","adjR2"
"m1_full",-47.0356056763356,-33.1965437580993,0.965206109501206
"m2_parsimonious",-41.4947547423423,-30.171885900149,0.955360702520375
"m3_int_exp",-48.3668530786839,-34.5277911604476,0.966942780380217
