"pred_base","pred_base_lwr","pred_base_upr","pred_scen","pred_scen_lwr","pred_scen_upr","delta_isk","delta_pct","delta_pct_lwr","delta_pct_upr","delta_isk_lwr","delta_isk_upr"
9606.53164551391,7690.00804889947,12000.6961851578,10083.3432517224,7538.37685746996,13487.4938006456,476.811606208501,4.96341056067997,-37.1838371611033,75.3898528438573,-4462.3193276878,5797.48575174609
7873.04059520348,6381.9224025543,9712.55435335805,8263.81192355243,6339.11468030915,10772.8903722116,390.771328348951,4.96341056067997,-34.7327752341746,68.8032177874775,-3373.43967304889,4390.96796965725
8738.73807977277,7021.50054348433,10875.9577463445,9172.47752849437,7067.40543621003,11904.5588611161,433.739448721604,4.96341056067997,-35.0180866730065,69.5443700016952,-3808.55231013449,4883.05831763178
6975.40385216877,5644.1419823335,8620.66529388309,7321.62178361738,5799.63564256669,9243.01953538181,346.21793144861,4.96341056067979,-32.7240364304377,63.763058482813,-2821.0296513164,3598.87755304831
7196.95671224506,5783.24944070321,8956.24275746803,7538.50008013271,5750.93636183592,9881.69228150158,341.543367887652,4.74566377906016,-35.7885162610115,70.8674748136063,-3205.30639563211,4098.44284079837
5384.18669484832,4367.78756058368,6637.10539097459,5651.42598586713,4375.25093577409,7299.83631626458,267.239291018808,4.96341056067962,-34.0789293217532,67.1289231678906,-2261.85445520051,2932.0487556809
8637.00688895375,6980.12137973876,10687.1906577972,9065.69700100672,7002.39727022455,11736.9607782089,428.690112052971,4.96341056067979,-34.4785969068895,68.1483765064287,-3684.79338757265,4756.8393984701
8589.24152868077,6914.3291777429,10669.8810747245,9015.5608497976,6973.18081026942,11656.1350763631,426.319321116835,4.96341056067977,-34.646124343523,68.5794062840393,-3696.70026445507,4741.80589862017
5591.57423307963,4518.33780160216,6919.73548169715,5869.10701907255,4539.75459144403,7587.72671682452,277.532785992924,4.96341056067979,-34.3941021524337,67.931815857902,-2379.98089025312,3069.38891522236
6417.66402764403,5163.52543316477,7976.41303501292,6681.85235149235,5062.94970486269,8818.40694650051,264.188323848322,4.11658077939783,-36.5259837643991,70.7826766933467,-2913.46333015023,3654.88151333575
8509.5594178473,6766.98074218041,10700.8729956192,8931.92378866005,6594.84865479617,12097.2090100068,422.364370812755,4.96341056067979,-38.3709286382896,78.7681902890847,-4106.02434082305,5330.22826782638
7561.62866219827,6057.66157523246,9438.99346552456,7936.94333777721,6359.79223634141,9905.20872476253,375.314675578938,4.96341056067979,-32.6221354049007,63.5153862880237,-3079.20122918315,3847.54714953008
3623.40477307688,2851.93491691137,4603.56303073531,3800.9441804634,2830.94520360614,5103.30494726473,177.539407386512,4.89979504099816,-38.5053449967869,78.9418446053313,-1772.61782712917,2251.37003035336
8143.9270307259,6561.11814608769,10108.5738749173,8548.14356502301,6802.58607611514,10741.6146728089,404.216534297105,4.96341056067977,-32.7047894164915,63.7162208276045,-3305.98779880219,4180.49652672126
6548.81049964582,5228.83324373979,8202.00548786244,6770.54109770025,5222.99472268026,8776.61747514164,221.73059805443,3.3858148447939,-36.320516605245,67.850399238672,-2979.01076518219,3547.78423140185
4900.40048021947,3907.82101526223,6145.09333276713,5143.62747517029,3964.20334592474,6673.95219029941,243.226994950816,4.96341056067979,-35.4899408152738,70.7844899813448,-2180.88998684239,2766.13117503718
8338.98597909048,6673.12092925264,10420.7143698886,8735.66982870693,6715.31253324184,11363.8683201153,396.683849616444,4.75697945303069,-35.5580405058775,70.2931572886698,-3705.4018366468,4690.7473908627
2216.77203991188,1748.60714289987,2810.2814842593,2326.79953744706,1851.37784865062,2924.3063977512,110.027497535185,4.96341056067988,-34.1212665343171,67.2363291906471,-958.903635608678,1175.69925485133
3511.47226044847,2797.45106992965,4407.74016333704,3670.92657282319,2810.99008210707,4793.93434677587,159.454312374718,4.54095321129926,-36.2260483163574,71.3679427070883,-1596.75008122997,1996.48327684622
5428.61737379111,4330.4778887735,6805.22735549016,5620.29571503473,4368.50490913251,7230.78595113915,191.678341243615,3.53088692839214,-35.8066280385447,66.9743186978166,-2436.72244635765,2900.30806236564
10696.6788873147,8449.78064314389,13541.0543836025,11227.5989768496,8529.11594992914,14779.8411376975,530.92008953498,4.96341056067979,-37.0129111935518,74.9139032347521,-5011.93843367333,6330.06049455363
3690.06838142643,2962.78387791511,4595.88185324707,3857.33291159131,2992.08361464628,4972.79458301651,167.264530164884,4.53283009623326,-34.8964200954747,67.8419617469982,-1603.79823860078,2010.0107051014
3513.67195774273,2811.61079183347,4391.03828399265,3666.06515297594,2803.3036371402,4794.35531984519,152.393195233206,4.33714920077817,-36.1585243435583,70.5198789879008,-1587.73464685245,1982.74452801172
5749.3935653298,4598.23363939439,7188.74440956186,6034.75957272642,4631.57881711337,7863.04725422138,285.366007396623,4.96341056067977,-35.5717973370589,71.0014729755444,-2557.16559244849,3264.813614827
5170.3121239797,4160.55346206922,6425.13735325889,5426.93594196143,4255.77915642657,6920.38581787742,256.623817981726,4.96341056067997,-33.763608115428,66.3332987057838,-2169.35819683231,2759.8323558082
2163.30253933816,1701.83752720612,2749.8969801129,2228.29408481118,1679.80145755649,2955.88178356935,64.9915454730203,3.0042744503459,-38.9140222450251,73.6876603268925,-1070.09552255641,1254.04425636323
